SYN,ACK,PSH,URG,FIN,window_size,tcp.mss,sequence_no,port_scan_packet
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,64240,1460,0,NO
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
1,0,0,0,0,1024,1460,0,YES
